row_id,image_id,bbox,category_id,height,width,position,positionName,categoryName,superCategoryName
0,289343,"[473.07, 395.93, 38.65, 28.67]",18,640,529,5,middleRight,dog,animal
1,61471,"[272.1, 200.23, 151.97, 279.77]",18,480,640,7,bottomCenter,dog,animal
2,472375,"[124.71, 196.18, 372.85, 356.81]",18,612,612,4,middleCenter,dog,animal
3,520301,"[112.71, 154.82, 367.29, 479.35]",18,640,480,4,middleCenter,dog,animal
4,579321,"[200.61, 89.65, 400.22, 251.02]",18,498,640,4,middleCenter,dog,animal
5,494869,"[0.0, 421.09, 154.53, 208.61]",18,640,427,6,bottomLeft,dog,animal
6,554002,"[427.58, 77.87, 188.88, 285.91]",18,425,640,5,middleRight,dog,animal
7,78823,"[197.97, 117.22, 170.45, 222.07]",18,480,640,4,middleCenter,dog,animal
8,419974,"[61.68, 389.34, 130.77, 138.47]",18,640,426,6,bottomLeft,dog,animal
9,404484,"[86.93, 90.76, 82.5, 74.54]",18,240,320,4,middleCenter,dog,animal
10,329219,"[297.73, 252.34, 60.21, 108.45]",18,427,640,7,bottomCenter,dog,animal
11,68078,"[29.0, 492.01, 72.51, 134.73]",18,640,360,6,bottomLeft,dog,animal
12,170893,"[270.55, 80.55, 367.51, 393.7]",18,480,640,5,middleRight,dog,animal
13,65485,"[387.99, 97.43, 84.99, 81.29]",18,364,640,5,middleRight,dog,animal
14,498286,"[0.97, 9.8, 467.44, 463.58]",18,480,640,4,middleCenter,dog,animal
15,424162,"[76.39, 294.14, 158.96, 184.78]",18,512,640,6,bottomLeft,dog,animal
16,61108,"[136.73, 179.48, 114.34, 137.22]",18,480,640,3,middleLeft,dog,animal
17,67213,"[402.7, 58.79, 197.92, 201.84]",18,485,640,2,topRight,dog,animal
18,365207,"[464.19, 273.52, 93.72, 82.24]",18,588,640,5,middleRight,dog,animal
19,131273,"[120.24, 0.32, 359.76, 596.04]",18,640,480,4,middleCenter,dog,animal
20,279278,"[506.13, 157.73, 72.8, 81.47]",18,429,640,5,middleRight,dog,animal
21,540502,"[6.59, 93.28, 34.3, 34.66]",64,427,640,0,topLeft,potted plant,furniture
22,127182,"[314.46, 261.42, 70.64, 100.13]",64,640,427,5,middleRight,potted plant,furniture
23,565776,"[120.66, 161.06, 36.35, 55.39]",64,421,640,3,middleLeft,potted plant,furniture
24,575970,"[561.01, 183.34, 33.0, 41.34]",64,480,640,5,middleRight,potted plant,furniture
25,462614,"[126.74, 240.09, 109.25, 87.4]",64,484,640,3,middleLeft,potted plant,furniture
26,407614,"[365.9, 0.0, 157.59, 126.98]",64,426,640,2,topRight,potted plant,furniture
27,522007,"[38.74, 0.0, 165.74, 333.63]",64,480,640,3,middleLeft,potted plant,furniture
28,78823,"[58.45, 81.69, 131.53, 125.9]",64,480,640,0,topLeft,potted plant,furniture
29,37777,"[102.49, 118.47, 7.9, 17.31]",64,230,352,3,middleLeft,potted plant,furniture
30,404484,"[207.4, 69.19, 106.79, 82.39]",64,240,320,5,middleRight,potted plant,furniture
31,529568,"[0.0, 351.56, 70.13, 150.94]",64,640,480,6,bottomLeft,potted plant,furniture
32,42276,"[146.9, 16.69, 105.64, 88.52]",64,500,375,1,topCenter,potted plant,furniture
33,370818,"[0.0, 208.62, 28.13, 67.81]",64,640,472,3,middleLeft,potted plant,furniture
34,68833,"[97.28, 202.37, 60.28, 39.91]",72,480,640,3,middleLeft,tv,electronic
35,433915,"[1.08, 1.72, 574.7, 471.39]",72,480,640,4,middleCenter,tv,electronic
36,17379,"[145.26, 214.29, 165.39, 107.87]",72,640,478,4,middleCenter,tv,electronic
37,186632,"[2.88, 213.21, 166.83, 93.49]",72,640,480,3,middleLeft,tv,electronic
38,440475,"[263.24, 172.56, 98.61, 60.75]",72,427,640,4,middleCenter,tv,electronic
39,368900,"[465.19, 225.78, 166.91, 146.17]",72,480,640,5,middleRight,tv,electronic
40,9772,"[426.66, 91.19, 89.88, 95.56]",72,640,550,2,topRight,tv,electronic
41,404484,"[25.74, 45.78, 18.47, 72.24]",72,240,320,3,middleLeft,tv,electronic
42,525083,"[265.67, 222.31, 26.48, 14.71]",72,428,640,4,middleCenter,tv,electronic
43,383443,"[235.21, 123.92, 48.11, 40.09]",72,427,640,4,middleCenter,tv,electronic
44,240940,"[105.37, 2.58, 185.95, 138.43]",72,500,357,1,topCenter,tv,electronic
45,17899,"[204.72, 584.58, 14.54, 39.44]",16,640,480,7,bottomCenter,bird,animal
46,508602,"[149.85, 80.88, 147.03, 176.62]",16,429,500,4,middleCenter,bird,animal
47,157807,"[103.34, 155.99, 375.33, 221.3]",17,427,640,4,middleCenter,cat,animal
48,109055,"[128.0, 91.56, 341.68, 354.06]",17,480,640,4,middleCenter,cat,animal
49,23272,"[186.29, 73.39, 125.81, 72.58]",17,375,500,1,topCenter,cat,animal
50,134096,"[214.71, 106.01, 425.29, 367.48]",17,480,640,5,middleRight,cat,animal
51,501523,"[208.52, 112.52, 289.03, 285.93]",17,480,640,4,middleCenter,cat,animal
52,125850,"[110.32, 19.09, 468.84, 425.36]",17,489,640,4,middleCenter,cat,animal
53,284623,"[36.62, 0.0, 427.91, 412.58]",17,480,640,4,middleCenter,cat,animal
54,245764,"[194.21, 176.51, 300.75, 303.49]",17,480,640,7,bottomCenter,cat,animal
55,466156,"[185.65, 85.6, 167.92, 117.28]",17,375,500,4,middleCenter,cat,animal
56,10363,"[245.51, 108.3, 226.13, 135.68]",17,361,640,4,middleCenter,cat,animal
57,172330,"[244.04, 219.25, 177.93, 114.97]",17,480,640,4,middleCenter,cat,animal
58,211042,"[160.88, 185.82, 125.86, 356.62]",17,640,458,4,middleCenter,cat,animal
59,361621,"[46.06, 1.92, 549.82, 422.2]",17,427,640,4,middleCenter,cat,animal
60,554291,"[211.7, 78.24, 281.65, 338.71]",17,428,640,4,middleCenter,cat,animal
61,227044,"[121.03, 40.86, 514.14, 388.97]",17,480,640,4,middleCenter,cat,animal
62,530099,"[161.29, 179.03, 266.94, 120.16]",17,375,500,4,middleCenter,cat,animal
63,223747,"[39.78, 222.8, 444.0, 147.2]",17,370,500,7,bottomCenter,cat,animal
64,312340,"[139.84, 111.51, 266.88, 232.15]",17,425,640,4,middleCenter,cat,animal
65,209747,"[170.88, 59.71, 170.13, 223.34]",17,350,500,4,middleCenter,cat,animal
66,153217,"[17.2, 315.05, 143.02, 174.2]",17,500,375,6,bottomLeft,cat,animal
67,558073,"[122.43, 111.29, 242.35, 197.31]",17,375,500,4,middleCenter,cat,animal
68,47121,"[325.16, 71.23, 314.84, 322.06]",17,480,640,5,middleRight,cat,animal
69,176778,"[264.39, 397.8, 73.4, 242.2]",17,640,427,8,bottomRight,cat,animal
70,568690,"[130.75, 181.68, 156.91, 143.14]",17,640,480,4,middleCenter,cat,animal
71,176857,"[217.33, 139.78, 46.51, 81.39]",17,375,500,4,middleCenter,cat,animal
72,107087,"[49.69, 83.53, 210.52, 264.01]",17,427,640,3,middleLeft,cat,animal
73,491216,"[179.73, 423.32, 91.19, 92.69]",17,640,480,7,bottomCenter,cat,animal
74,260925,"[70.5, 236.11, 495.55, 190.76]",17,480,640,7,bottomCenter,cat,animal
75,304560,"[0.0, 101.15, 452.3, 319.43]",17,425,640,4,middleCenter,cat,animal
76,327769,"[201.47, 116.07, 250.92, 143.78]",17,424,640,4,middleCenter,cat,animal
77,7386,"[180.91, 281.14, 38.4, 45.48]",18,400,600,7,bottomCenter,dog,animal
78,29187,"[211.18, 83.42, 252.37, 384.35]",19,491,640,4,middleCenter,horse,animal
79,368335,"[154.48, 218.62, 113.11, 270.35]",19,640,411,4,middleCenter,horse,animal
80,367680,"[140.57, 148.8, 33.54, 60.12]",19,338,450,4,middleCenter,horse,animal
81,555050,"[221.72, 170.33, 55.82, 53.12]",21,322,500,4,middleCenter,cow,animal
82,117914,"[16.07, 245.79, 13.42, 27.79]",44,500,333,3,middleLeft,bottle,kitchen
83,319696,"[361.7, 90.14, 51.73, 132.17]",44,333,500,5,middleRight,bottle,kitchen
84,102707,"[323.77, 186.89, 155.3, 405.37]",44,612,612,4,middleCenter,bottle,kitchen
85,519569,"[141.4, 306.52, 12.1, 54.34]",44,640,426,4,middleCenter,bottle,kitchen
86,178028,"[89.91, 302.87, 19.35, 50.85]",44,500,375,3,middleLeft,bottle,kitchen
87,290768,"[264.59, 150.25, 11.2, 42.31]",44,612,612,1,topCenter,bottle,kitchen
88,228214,"[123.98, 384.72, 64.89, 168.98]",44,640,429,7,bottomCenter,bottle,kitchen
89,453302,"[60.72, 30.31, 209.04, 208.06]",44,375,500,3,middleLeft,bottle,kitchen
90,293390,"[392.28, 21.21, 26.87, 69.71]",44,480,640,1,topCenter,bottle,kitchen
91,512476,"[81.29, 157.38, 52.43, 137.17]",44,426,640,3,middleLeft,bottle,kitchen
92,10363,"[147.18, 28.8, 12.66, 37.61]",44,361,640,0,topLeft,bottle,kitchen
93,480122,"[132.49, 233.2, 20.6, 30.9]",44,640,640,3,middleLeft,bottle,kitchen
94,262440,"[58.06, 362.48, 13.4, 28.46]",44,640,400,3,middleLeft,bottle,kitchen
95,500464,"[264.63, 323.91, 13.76, 46.8]",44,640,430,4,middleCenter,bottle,kitchen
96,397133,"[217.62, 240.54, 38.99, 57.75]",44,427,640,4,middleCenter,bottle,kitchen
97,327769,"[114.22, 11.42, 53.92, 127.02]",44,424,640,0,topLeft,bottle,kitchen
98,354072,"[51.49, 284.99, 19.03, 42.68]",44,640,359,3,middleLeft,bottle,kitchen
99,61471,"[181.23, 86.28, 27.44, 73.53]",44,480,640,0,topLeft,bottle,kitchen
100,569917,"[161.16, 316.74, 40.71, 90.51]",44,640,480,4,middleCenter,bottle,kitchen
101,222825,"[173.15, 346.83, 12.33, 37.12]",44,640,427,4,middleCenter,bottle,kitchen
102,492878,"[53.54, 337.71, 67.7, 116.82]",44,640,640,3,middleLeft,bottle,kitchen
103,438774,"[12.46, 158.67, 16.56, 50.93]",44,425,640,3,middleLeft,bottle,kitchen
104,351362,"[392.24, 388.66, 17.4, 34.41]",44,640,426,5,middleRight,bottle,kitchen
